Geography-label_value,N_sum,CalendarTime-label_value,Gender-label_value,Geography_order,CalendarTime_order,Gender_order,Geography_value-order
Toronto,33,2020,AllGender,1,1,99,1
Toronto,121,2021,AllGender,1,1,99,1
Toronto,154,2020-2024,AllGender,1,99,99,1
Toronto,21,2020,F,1,1,1,1
Toronto,12,2020,M,1,1,1,1
Toronto,23,2021,F,1,1,1,1
Toronto,98,2021,M,1,1,1,1
Toronto,44,2020-2024,F,1,99,1,1
Toronto,110,2020-2024,M,1,99,1,1
New York,46,2020,AllGender,1,1,99,2
New York,115,2021,AllGender,1,1,99,2
New York,161,2020-2024,AllGender,1,99,99,2
New York,15,2020,F,1,1,1,2
New York,31,2020,M,1,1,1,2
New York,73,2021,F,1,1,1,2
New York,42,2021,M,1,1,1,2
New York,88,2020-2024,F,1,99,1,2
New York,73,2020-2024,M,1,99,1,2
Paris,78,2020,AllGender,1,1,99,3
Paris,108,2021,AllGender,1,1,99,3
Paris,186,2020-2024,AllGender,1,99,99,3
Paris,35,2020,F,1,1,1,3
Paris,43,2020,M,1,1,1,3
Paris,21,2021,F,1,1,1,3
Paris,87,2021,M,1,1,1,3
Paris,56,2020-2024,F,1,99,1,3
Paris,130,2020-2024,M,1,99,1,3
Canada,33,2020,AllGender,2,1,99,4
Canada,121,2021,AllGender,2,1,99,4
Canada,154,2020-2024,AllGender,2,99,99,4
Canada,21,2020,F,2,1,1,4
Canada,12,2020,M,2,1,1,4
Canada,23,2021,F,2,1,1,4
Canada,98,2021,M,2,1,1,4
Canada,44,2020-2024,F,2,99,1,4
Canada,110,2020-2024,M,2,99,1,4
Europe,78,2020,AllGender,99,1,99,5
Europe,108,2021,AllGender,99,1,99,5
Europe,186,2020-2024,AllGender,99,99,99,5
Europe,35,2020,F,99,1,1,5
Europe,43,2020,M,99,1,1,5
Europe,21,2021,F,99,1,1,5
Europe,87,2021,M,99,1,1,5
Europe,56,2020-2024,F,99,99,1,5
Europe,130,2020-2024,M,99,99,1,5
France,78,2020,AllGender,2,1,99,6
France,108,2021,AllGender,2,1,99,6
France,186,2020-2024,AllGender,2,99,99,6
France,35,2020,F,2,1,1,6
France,43,2020,M,2,1,1,6
France,21,2021,F,2,1,1,6
France,87,2021,M,2,1,1,6
France,56,2020-2024,F,2,99,1,6
France,130,2020-2024,M,2,99,1,6
North America,79,2020,AllGender,99,1,99,7
North America,236,2021,AllGender,99,1,99,7
North America,315,2020-2024,AllGender,99,99,99,7
North America,36,2020,F,99,1,1,7
North America,43,2020,M,99,1,1,7
North America,96,2021,F,99,1,1,7
North America,140,2021,M,99,1,1,7
North America,132,2020-2024,F,99,99,1,7
North America,183,2020-2024,M,99,99,1,7
US,46,2020,AllGender,2,1,99,8
US,115,2021,AllGender,2,1,99,8
US,161,2020-2024,AllGender,2,99,99,8
US,15,2020,F,2,1,1,8
US,31,2020,M,2,1,1,8
US,73,2021,F,2,1,1,8
US,42,2021,M,2,1,1,8
US,88,2020-2024,F,2,99,1,8
US,73,2020-2024,M,2,99,1,8
